epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
84,3391.64,1.04079,0.57,1,1.0199,0.001783,0.001783,0.001783
85,3431.82,1.04577,0.592,1,0.98352,0.001684,0.001684,0.001684
86,3472.03,1.03505,0.589,1,0.97681,0.001585,0.001585,0.001585
87,3512.2,1.03548,0.604,1,0.95898,0.001486,0.001486,0.001486
88,3552.3,1.01706,0.587,1,0.96191,0.001387,0.001387,0.001387
89,3592.67,1.01149,0.598,1,0.9624,0.001288,0.001288,0.001288
90,3633.53,1.01678,0.601,1,0.94739,0.001189,0.001189,0.001189
91,3679.3,1.0035,0.616,1,0.93469,0.00109,0.00109,0.00109
92,3720.78,1.00457,0.604,1,0.93982,0.000991,0.000991,0.000991
93,3762.28,1.00241,0.599,1,0.94141,0.000892,0.000892,0.000892
94,3803.36,0.9832,0.613,1,0.93018,0.000793,0.000793,0.000793
95,3845,0.98393,0.611,1,0.92114,0.000694,0.000694,0.000694
96,3886.27,0.97959,0.62,1,0.91406,0.000595,0.000595,0.000595
97,3927.48,0.95955,0.624,1,0.91895,0.000496,0.000496,0.000496
98,3968.68,0.97055,0.62,1,0.89563,0.000397,0.000397,0.000397
99,4010.16,0.95151,0.632,1,0.89832,0.000298,0.000298,0.000298
100,4051.54,0.95799,0.634,1,0.88757,0.000199,0.000199,0.000199
