epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.0599,1.77629,2.50844,1.97597,0.00647,0.5751,0.00512,0.00154,3.03116,inf,15.6515,0.0704762,0.00328042,0.00328042
2,172.683,1.9402,2.54337,2.14567,0.00338,0.26877,0.00193,0.00045,3.49264,inf,10.2499,0.0404107,0.00654828,0.00654828
3,245.115,1.93643,2.55903,2.16984,0.00432,0.41996,0.00276,0.00074,3.3298,inf,7.39222,0.0102792,0.00975014,0.00975014
