epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3076.55,1.41477,1.60072,1.70224,0.77108,0.63636,0.73122,0.40376,1.503,1.33761,1.80754,0.005743,0.005743,0.005743
45,3144.67,1.41178,1.58113,1.7037,0.72884,0.59684,0.67597,0.36786,1.52523,1.42639,1.86764,0.005644,0.005644,0.005644
46,3212.46,1.41468,1.59988,1.7061,0.67075,0.61462,0.68216,0.36876,1.52251,1.38184,1.83893,0.005545,0.005545,0.005545
47,3279.39,1.38819,1.55805,1.67803,0.70152,0.62939,0.69734,0.37507,1.54374,1.45591,1.84035,0.005446,0.005446,0.005446
48,3349.43,1.4036,1.57399,1.69718,0.59625,0.56423,0.59869,0.32489,1.54877,1.53064,1.83959,0.005347,0.005347,0.005347
49,3420.45,1.37712,1.55385,1.6731,0.66195,0.62692,0.672,0.35629,1.48616,1.4467,1.79959,0.005248,0.005248,0.005248
50,3490.84,1.38123,1.54596,1.67066,0.74511,0.63142,0.71826,0.40975,1.47463,1.39616,1.79368,0.005149,0.005149,0.005149
51,3561.42,1.37611,1.52634,1.66583,0.71902,0.5917,0.68223,0.38309,1.48803,1.45177,1.80772,0.00505,0.00505,0.00505
52,3632.1,1.36102,1.52683,1.66029,0.71578,0.60178,0.6769,0.39012,1.4777,1.41286,1.80168,0.004951,0.004951,0.004951
53,3699.36,1.35785,1.51307,1.65017,0.75192,0.6166,0.71283,0.41405,1.42765,1.28659,1.75062,0.004852,0.004852,0.004852
54,3766.04,1.35945,1.52204,1.65929,0.7206,0.67787,0.73648,0.41439,1.41396,1.25322,1.73776,0.004753,0.004753,0.004753
55,3832.09,1.34583,1.49223,1.63871,0.65317,0.58597,0.66624,0.3707,1.49103,1.4677,1.79096,0.004654,0.004654,0.004654
56,3902.66,1.35586,1.48501,1.6507,0.77115,0.63043,0.70791,0.38692,1.52672,1.39061,1.85966,0.004555,0.004555,0.004555
57,3974.48,1.32354,1.44835,1.61861,0.70918,0.65302,0.70849,0.39801,1.43813,1.30493,1.75429,0.004456,0.004456,0.004456
58,4045.36,1.33925,1.4822,1.63616,0.74092,0.63043,0.71191,0.41767,1.39643,1.32726,1.7412,0.004357,0.004357,0.004357
59,4115.43,1.33919,1.46294,1.63364,0.75636,0.66996,0.74113,0.4169,1.47228,1.27581,1.79731,0.004258,0.004258,0.004258
60,4185.77,1.33608,1.46546,1.62732,0.74346,0.70158,0.75976,0.44628,1.31706,1.1905,1.63979,0.004159,0.004159,0.004159
61,4254.29,1.31967,1.43971,1.61394,0.75777,0.66462,0.74246,0.42459,1.44666,1.24649,1.75583,0.00406,0.00406,0.00406
62,4320.48,1.31261,1.43145,1.60997,0.79306,0.7085,0.7861,0.48093,1.33835,1.14831,1.69376,0.003961,0.003961,0.003961
63,4385.4,1.31599,1.4338,1.61956,0.78413,0.68775,0.78058,0.48128,1.29486,1.17487,1.65784,0.003862,0.003862,0.003862
64,4456.17,1.29403,1.42184,1.60564,0.74418,0.67262,0.75908,0.45192,1.31434,1.20312,1.64704,0.003763,0.003763,0.003763
65,4527.08,1.31052,1.41285,1.61007,0.7202,0.66502,0.73287,0.41763,1.36939,1.24146,1.71144,0.003664,0.003664,0.003664
66,4597.23,1.293,1.4007,1.59876,0.84634,0.68083,0.79616,0.48952,1.32989,1.14557,1.65177,0.003565,0.003565,0.003565
67,4667.69,1.28701,1.38481,1.58789,0.7896,0.70158,0.78849,0.48055,1.34423,1.13633,1.68408,0.003466,0.003466,0.003466
68,4738.1,1.28577,1.39326,1.59018,0.79365,0.6996,0.7937,0.48419,1.27434,1.12761,1.6127,0.003367,0.003367,0.003367
69,4805.96,1.27773,1.37359,1.58245,0.83979,0.67852,0.79769,0.48336,1.27121,1.11919,1.61793,0.003268,0.003268,0.003268
70,4872.25,1.26464,1.36818,1.578,0.80239,0.69014,0.79389,0.49566,1.29736,1.06085,1.64663,0.003169,0.003169,0.003169
71,4939.22,1.25624,1.35272,1.57335,0.75826,0.72826,0.78317,0.4684,1.29672,1.11447,1.63521,0.00307,0.00307,0.00307
72,5009.75,1.25988,1.34066,1.57182,0.82048,0.7271,0.82352,0.52054,1.23622,1.02425,1.60287,0.002971,0.002971,0.002971
