epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2850.6,1.36463,1.5644,1.67073,0.70552,0.67589,0.71868,0.384,1.56673,1.31042,1.87454,0.005743,0.005743,0.005743
45,2914.45,1.35993,1.54829,1.67253,0.52616,0.4002,0.40982,0.18248,2.08912,2.35877,2.68541,0.005644,0.005644,0.005644
46,2984.76,1.35482,1.5364,1.66557,0.65762,0.60277,0.63425,0.3509,1.50857,1.44628,1.85579,0.005545,0.005545,0.005545
47,3055.37,1.34197,1.51634,1.64725,0.64994,0.57213,0.62393,0.32098,1.60918,1.4884,1.90407,0.005446,0.005446,0.005446
48,3125.28,1.33087,1.51561,1.64261,0.71446,0.64032,0.72711,0.41566,1.46178,1.28777,1.78579,0.005347,0.005347,0.005347
49,3194.43,1.34131,1.49073,1.64917,0.73298,0.59783,0.71052,0.38205,1.5032,1.42237,1.84575,0.005248,0.005248,0.005248
50,3263.75,1.32142,1.4809,1.63195,0.73625,0.66502,0.7375,0.38656,1.55714,1.30537,1.88869,0.005149,0.005149,0.005149
51,3332.49,1.32782,1.4854,1.64307,0.69791,0.63006,0.69363,0.39486,1.44445,1.39418,1.77792,0.00505,0.00505,0.00505
52,3398.01,1.32143,1.47123,1.63481,0.76023,0.67194,0.75244,0.42591,1.49467,1.25097,1.8354,0.004951,0.004951,0.004951
53,3461.82,1.32865,1.47617,1.63662,0.74137,0.66846,0.73992,0.42696,1.4051,1.33657,1.77311,0.004852,0.004852,0.004852
54,3532.26,1.31099,1.4512,1.62407,0.70218,0.65119,0.69766,0.38738,1.54222,1.35981,1.90108,0.004753,0.004753,0.004753
55,3602.26,1.30192,1.44764,1.61988,0.73344,0.59091,0.64739,0.35768,1.54836,1.62197,1.94048,0.004654,0.004654,0.004654
56,3672.1,1.30387,1.44148,1.60921,0.76225,0.63679,0.73493,0.40875,1.39602,1.28925,1.74759,0.004555,0.004555,0.004555
57,3741.57,1.30279,1.46389,1.62463,0.68894,0.58992,0.67801,0.38225,1.48974,1.33268,1.82067,0.004456,0.004456,0.004456
58,3810.81,1.29127,1.43082,1.60648,0.7598,0.67095,0.74607,0.41329,1.4193,1.21977,1.71266,0.004357,0.004357,0.004357
59,3880.19,1.2837,1.42201,1.60253,0.81493,0.66996,0.77657,0.45863,1.33638,1.19903,1.70722,0.004258,0.004258,0.004258
60,3945.23,1.27091,1.39118,1.58325,0.74307,0.72036,0.77268,0.44625,1.40896,1.18907,1.7845,0.004159,0.004159,0.004159
61,4009.27,1.25799,1.393,1.57824,0.78656,0.70279,0.78909,0.47945,1.31297,1.18687,1.66044,0.00406,0.00406,0.00406
62,4080.21,1.26338,1.39463,1.58564,0.81762,0.70434,0.80553,0.47204,1.35116,1.16124,1.68138,0.003961,0.003961,0.003961
63,4151.07,1.26902,1.3786,1.58062,0.77209,0.64921,0.74586,0.43353,1.43796,1.25685,1.75714,0.003862,0.003862,0.003862
